verify-fdge — cumplimiento mecánico de la Methodology Suite 7.0.0

PASA
  ✓ SUITE-R08      REGISTRY.json presente y coherente.
  ✓ FDGE-R34       PT-007: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-008: firmado por lote EP-002.
  ✓ FDGE-R51       PT-008: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-008: sin comentarios pendientes en el issue #12.
  ✓ FDGE-R45       PT-008: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-008: self-review completo.
  ✓ FDGE-R29       PT-008: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-008: presente en ENRICHMENT.md con estado canónico.
  ✓ FDGE-R34       PT-008: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-009: firmado por lote EP-003.
  ✓ FDGE-R51       PT-009: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-009: sin comentarios pendientes en el issue #14.
  ✓ FDGE-R45       PT-009: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-009: self-review completo.
  ✓ FDGE-R29       PT-009: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-009: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-009: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-010: firmado por lote EP-003.
  ✓ FDGE-R51       PT-010: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-010: sin comentarios pendientes en el issue #15.
  ✓ FDGE-R45       PT-010: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-010: self-review completo.
  ✓ FDGE-R29       PT-010: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-010: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-010: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-011: firmado por lote EP-004.
  ✓ FDGE-R51       PT-011: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-011: sin comentarios pendientes en el issue #18.
  ✓ FDGE-R45       PT-011: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-011: self-review completo.
  ✓ FDGE-R29       PT-011: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-011: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-011: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-012: firmado por lote EP-004.
  ✓ FDGE-R51       PT-012: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-012: sin comentarios pendientes en el issue #19.
  ✓ FDGE-R45       PT-012: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-012: self-review completo.
  ✓ FDGE-R29       PT-012: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-012: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-012: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-013: firmado por lote EP-004.
  ✓ FDGE-R51       PT-013: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-013: sin comentarios pendientes en el issue #20.
  ✓ FDGE-R45       PT-013: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-013: self-review completo.
  ✓ FDGE-R29       PT-013: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-013: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-013: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-014: firmado por lote EP-004.
  ✓ FDGE-R51       PT-014: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-014: sin comentarios pendientes en el issue #21.
  ✓ FDGE-R45       PT-014: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-014: self-review completo.
  ✓ FDGE-R29       PT-014: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-014: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-014: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-018: firmado por lote EP-004.
  ✓ FDGE-R51       PT-018: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-018: sin comentarios pendientes en el issue #25.
  ✓ FDGE-R45       PT-018: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-018: self-review completo.
  ✓ FDGE-R29       PT-018: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-018: presente en REFACTOR_SCOPE.md con estado canónico.
  ✓ FDGE-R34       PT-018: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-021: firmado por lote EP-005.
  ✓ FDGE-R51       PT-021: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-021: sin comentarios pendientes en el issue #29.
  ✓ FDGE-R45       PT-021: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-021: self-review completo.
  ✓ FDGE-R29       PT-021: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-021: presente en REFACTOR_SCOPE.md con estado canónico.
  ✓ FDGE-R34       PT-021: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-022: firmado por lote EP-005.
  ✓ FDGE-R51       PT-022: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-022: sin comentarios pendientes en el issue #30.
  ✓ FDGE-R45       PT-022: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R31       PT-022: presente en REFACTOR_SCOPE.md con estado canónico.
  ✓ FDGE-R34       PT-022: sin errores de cumplimiento.

AVISOS
  ! SUITE-R45      EP-005: 4 fila(s) de cierre aún sin resolver. En G4 bloquean.
  ! SUITE-R43      PT-001: ningún comentario del issue #3 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-002: ningún comentario del issue #4 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-004: ningún comentario del issue #6 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-005: ningún comentario del issue #8 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-006: ningún comentario del issue #10 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-007: ningún comentario del issue #11 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R44      PT-021: 1 fila(s) de changes/PT-021-citar-el-propio-lote-en-su-cierre/out-of-scope.md no declaran su destino con el vocabulario cerrado. O es «—» —no aplaza— o cita un identificador que lo sostiene: un hermano del lote, o una allocation DEFERRED cuyo «origin» mencione PT-021. Sin eso, aplazar es narrar. «Entrada de `CHANGELOG.md` y número de versió» cita EP-005, que no está DEFERRED ni es hermano de este lote
  ! FDGE-R15       PT-022: aún sin traceability.md — se escribe en PHASE 4 y el PT está en PHASE 1.
  ! FDGE-R23       PT-022: aún sin evidence/PT-022/manifest.json (normal antes de PHASE 6).
  ! FDGE-R29       PT-022: aún sin entrada en HISTORY.log (se escribe en PHASE 8).

Sin errores. PTs verificados: 16.
