verify-fdge — cumplimiento mecánico de la Methodology Suite 6.0.1

PASA
  ✓ SUITE-R08      REGISTRY.json presente y coherente.
  ✓ FDGE-R51       PT-008: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-008: sin comentarios pendientes en el issue #12.
  ✓ FDGE-R45       PT-008: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-008: self-review completo.
  ✓ FDGE-R29       PT-008: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-008: presente en ENRICHMENT.md con estado canónico.
  ✓ FDGE-R34       PT-008: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-009: firmado por lote EP-003.
  ✓ FDGE-R51       PT-009: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-009: sin comentarios pendientes en el issue #14.
  ✓ FDGE-R45       PT-009: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-009: self-review completo.
  ✓ FDGE-R29       PT-009: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-009: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-009: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-010: firmado por lote EP-003.
  ✓ FDGE-R51       PT-010: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-010: sin comentarios pendientes en el issue #15.
  ✓ FDGE-R45       PT-010: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-010: self-review completo.
  ✓ FDGE-R29       PT-010: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-010: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-010: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-011: firmado por lote EP-004.
  ✓ FDGE-R51       PT-011: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-011: sin comentarios pendientes en el issue #18.
  ✓ FDGE-R45       PT-011: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-011: self-review completo.
  ✓ FDGE-R29       PT-011: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-011: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-011: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-012: firmado por lote EP-004.
  ✓ FDGE-R51       PT-012: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-012: sin comentarios pendientes en el issue #19.
  ✓ FDGE-R45       PT-012: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-012: self-review completo.
  ✓ FDGE-R29       PT-012: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-012: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-012: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-013: firmado por lote EP-004.
  ✓ FDGE-R51       PT-013: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-013: sin comentarios pendientes en el issue #20.
  ✓ FDGE-R45       PT-013: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R25       PT-013: self-review completo.
  ✓ FDGE-R29       PT-013: registrado en HISTORY.log.
  ✓ FDGE-R31       PT-013: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-013: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-014: firmado por lote EP-004.
  ✓ FDGE-R51       PT-014: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-014: sin comentarios pendientes en el issue #21.
  ✓ FDGE-R45       PT-014: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R31       PT-014: presente en DISCOVERY.md con estado canónico.
  ✓ FDGE-R34       PT-014: sin errores de cumplimiento.
  ✓ INTAKE-R08     PT-018: firmado por lote EP-004.
  ✓ FDGE-R51       PT-018: intake ligero · firma, veredicto y severidad heredados del lote.
  ✓ SUITE-R43      PT-018: sin comentarios pendientes en el issue #25.
  ✓ FDGE-R45       PT-018: evidencia e intake sin patrones de secreto conocidos.
  ✓ FDGE-R31       PT-018: presente en REFACTOR_SCOPE.md con estado canónico.

AVISOS
  ! SUITE-R43      PT-001: ningún comentario del issue #3 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-002: ningún comentario del issue #4 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-004: ningún comentario del issue #6 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-005: ningún comentario del issue #8 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-006: ningún comentario del issue #10 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! SUITE-R43      PT-007: ningún comentario del issue #11 lleva marca de procedencia, así que no se puede distinguir quién escribió qué: SIN EVALUAR. Se resuelve solo en cuanto el agente escriba una nota (RULE-06).
  ! FDGE-R15       PT-014: aún sin traceability.md — se escribe en PHASE 4 y el PT está en PHASE 1.
  ! FDGE-R23       PT-014: aún sin evidence/PT-014/manifest.json (normal antes de PHASE 6).
  ! FDGE-R29       PT-014: aún sin entrada en HISTORY.log (se escribe en PHASE 8).
  ! FDGE-R23       PT-018: aún sin evidence/PT-018/manifest.json (normal antes de PHASE 6).
  ! FDGE-R29       PT-018: aún sin entrada en HISTORY.log (se escribe en PHASE 8).
  ! SUITE-R44      PT-018: 1 fila(s) de changes/PT-018-el-destino-no-es-prosa/out-of-scope.md no declaran su destino con el vocabulario cerrado. O es «—» —no aplaza— o cita un identificador que lo sostiene: un hermano del lote, o una allocation DEFERRED cuyo «origin» mencione PT-018. Sin eso, aplazar es narrar. «Entrada de `CHANGELOG.md` y número de versió» cita EP-004, que no está DEFERRED ni es hermano de este lote

ERRORES
  ✗ FDGE-R15       PT-018: traceability.md no contiene ninguna fila AC-nn reconocible.

1 error(es).
